Date,Closing Price
2025-08-06,179.39988708496094
2025-08-07,180.74974060058594
2025-08-08,182.6795196533203
2025-08-11,182.0395965576172
2025-08-12,183.1394805908203
2025-08-13,181.56964111328125
2025-08-14,181.99960327148438
2025-08-15,180.42977905273438
2025-08-18,181.98959350585938
2025-08-19,175.6203155517578
2025-08-20,175.38034057617188
2025-08-21,174.96038818359375
2025-08-22,177.97006225585938
2025-08-25,179.78985595703125
2025-08-26,181.7496337890625
2025-08-27,181.57965087890625
2025-08-28,180.14981079101562
2025-08-29,174.1604766845703
2025-09-02,170.7608642578125
2025-09-03,170.60089111328125
2025-09-04,171.64077758789062
2025-09-05,167.0012969970703
2025-09-08,168.2911376953125
2025-09-09,170.74085998535156
2025-09-10,177.3101348876953
2025-09-11,177.16014099121094
2025-09-12,177.8101043701172
2025-09-15,177.74009704589844
2025-09-16,174.87026977539062
2025-09-17,170.280517578125
2025-09-18,176.23019409179688
2025-09-19,176.66015625
2025-09-22,183.5997772216797
2025-09-23,178.42005920410156
2025-09-24,176.96014404296875
2025-09-25,177.68011474609375
2025-09-26,178.18008422851562
2025-09-29,181.8398895263672
2025-09-30,186.56961059570312
2025-10-01,187.22958374023438
2025-10-02,188.87948608398438
2025-10-03,187.6095428466797
2025-10-06,185.5296630859375
2025-10-07,185.02969360351562
2025-10-08,189.09947204589844
2025-10-09,192.5592803955078
2025-10-10,183.14981079101562
2025-10-13,188.3095245361328
2025-10-14,180.0199737548828
2025-10-15,179.8199920654297
2025-10-16,181.7998809814453
2025-10-17,183.20980834960938
2025-10-20,182.6298370361328
2025-10-21,181.14991760253906
2025-10-22,180.26995849609375
2025-10-23,182.1498565673828
2025-10-24,186.24961853027344
2025-10-27,191.47933959960938
2025-10-28,201.01881408691406
2025-10-29,207.02847290039062
2025-10-30,202.8787078857422
2025-10-31,202.47872924804688
2025-11-03,206.8684844970703
2025-11-04,198.67893981933594
2025-11-05,195.1991424560547
2025-11-06,188.0695343017578
2025-11-07,188.1395263671875
2025-11-10,199.03892517089844
2025-11-11,193.1492462158203
2025-11-12,193.78921508789062
2025-11-13,186.84959411621094
2025-11-14,190.15940856933594
2025-11-17,186.58961486816406
2025-11-18,181.3498992919922
2025-11-19,186.50961303710938
2025-11-20,180.62994384765625
2025-11-21,178.8700408935547
2025-11-24,182.5398406982422
2025-11-25,177.8101043701172
2025-11-26,180.2499542236328
2025-11-28,176.99014282226562
2025-12-01,179.9099884033203
2025-12-02,181.4499053955078
2025-12-03,179.5800018310547
2025-12-04,183.3800048828125
2025-12-05,182.41000366210938
2025-12-08,185.5500030517578
2025-12-09,184.97000122070312
2025-12-10,183.77999877929688
2025-12-11,180.92999267578125
2025-12-12,175.02000427246094
2025-12-15,176.2899932861328
2025-12-16,177.72000122070312
2025-12-17,170.94000244140625
2025-12-18,174.13999938964844
2025-12-19,180.99000549316406
2025-12-22,183.69000244140625
2025-12-23,189.2100067138672
2025-12-24,188.61000061035156
2025-12-26,190.52999877929688
2025-12-29,188.22000122070312
2025-12-30,187.5399932861328
2025-12-31,186.5
2026-01-02,188.85000610351562
2026-01-05,188.1199951171875
2026-01-06,187.24000549316406
2026-01-07,189.11000061035156
2026-01-08,185.0399932861328
2026-01-09,184.86000061035156
2026-01-12,184.94000244140625
2026-01-13,185.80999755859375
2026-01-14,183.13999938964844
2026-01-15,187.0500030517578
2026-01-16,186.22999572753906
2026-01-20,178.07000732421875
2026-01-21,183.32000732421875
2026-01-22,184.83999633789062
2026-01-23,187.6699981689453
2026-01-26,186.47000122070312
2026-01-27,189.52999877929688
