Date,Closing Price
2025-10-29,82.0999984741211
2025-10-30,81.37999725341797
2025-10-31,80.72000122070312
2025-11-03,81.54000091552734
2025-11-04,80.30000305175781
2025-11-05,85.80000305175781
2025-11-06,84.30000305175781
2025-11-07,84.30000305175781
2025-11-10,86.91999816894531
2025-11-11,87.31999969482422
2025-11-12,89.05999755859375
2025-11-13,89.05999755859375
2025-11-14,88.73999786376953
2025-11-17,87.0
2025-11-18,84.66000366210938
2025-11-19,85.19999694824219
2025-11-20,84.41999816894531
2025-11-21,85.08000183105469
2025-11-24,87.04000091552734
2025-11-25,87.63999938964844
2025-11-26,87.4000015258789
2025-11-27,87.9000015258789
2025-11-28,88.04000091552734
2025-12-01,89.37999725341797
2025-12-02,89.55999755859375
2025-12-03,89.18000030517578
2025-12-04,93.18000030517578
2025-12-05,96.45999908447266
2025-12-08,97.13999938964844
2025-12-09,97.41999816894531
2025-12-10,95.66000366210938
2025-12-11,95.5
2025-12-12,96.13999938964844
2025-12-15,96.13999938964844
2025-12-16,94.26000213623047
2025-12-17,94.26000213623047
2025-12-18,94.26000213623047
2025-12-19,93.62000274658203
2025-12-22,92.86000061035156
2025-12-23,92.66000366210938
